"price","bed","bath","acre_lot","city","state","zip_code","house_size"
105000,"3","2",0.12,"Adjuntas","Puerto Rico",601,920
80000,"4","2",0.08,"Adjuntas","Puerto Rico",601,1527
67000,"2","1",0.15,"Juana Diaz","Puerto Rico",795,748
145000,"4","2",0.1,"Ponce","Puerto Rico",731,1800
179000,"4","3",0.46,"San Sebastian","Puerto Rico",612,2520
50000,"3","1",0.2,"Ciales","Puerto Rico",639,2040
71600,"3","2",0.08,"Ponce","Puerto Rico",731,1050
100000,"2","1",0.09,"Ponce","Puerto Rico",730,1092
150000,"3","2",0.08,"Juana Diaz","Puerto Rico",795,1045
155000,"3","2",0.1,"Lares","Puerto Rico",669,4161
79000,"5","2",0.12,"Utuado","Puerto Rico",641,1620
120000,"3","2",0.08,"Yauco","Puerto Rico",698,1100
235000,"4","4",0.22,"Mayaguez","Puerto Rico",680,3450
105000,"3","2",0.08,"Ponce","Puerto Rico",728,1500
140000,"6","3",0.25,"Anasco","Puerto Rico",610,1230
50000,"2","1",0.23,"Yauco","Puerto Rico",698,621
165000,"6","3",0.1,"Moca","Puerto Rico",676,3000
189000,"3","1",2,"Coamo","Puerto Rico",769,1213
122500,"3","2",0.05,"Yauco","Puerto Rico",698,1118
255000,"3","2",0.28,"San Sebastian","Puerto Rico",685,1500
425000,"4","3",0.3,"Ponce","Puerto Rico",730,3000
93000,"4","2",0.11,"Guayanilla","Puerto Rico",656,1300
75000,"4","2",0.04,"Manati","Puerto Rico",676,1080
469000,"3","2",0.69,"Isabela","Puerto Rico",662,2505
189000,"6","3",1.75,"Villalba","Puerto Rico",766,1943
225000,"5","4",0.12,"Ponce","Puerto Rico",717,1600
220000,"1","1",0.1,"Ponce","Puerto Rico",730,850
70500,"3","1",0.23,"Yauco","Puerto Rico",698,936
305000,"3","2",1.13,"Moca","Puerto Rico",676,1928
195000,"3","4",1.94,"Utuado","Puerto Rico",641,2500
120000,"4","2",0.24,"Las Marias","Puerto Rico",670,1800
